Condicion;Fecha;Temperatura (estanque);pH (estanque); Amoniaco (estanque);Nitritos (estanque);Nitratos (estanque);GH (estanque);KH (estanque);pH (huerta); Amoniaco (huerta);Nitritos (huerta);Nitratos (huerta);GH (huerta);KH (huerta);Obervaciones
Sin plantas;9/5/16;26;7,4;0,25;0,5;80;125;90;;;;;;;Se sacaron y metieron 3/4 partes del agua, pero se dejó el resto y las piedras para el filtro biológico
Sin plantas;10/5/16;27;7,4;0,125;0;80;125;90;;;;;;;El filtro biológico está avnzando súper rápido, debido a las bacterias que viven en las piedras.
Sin plantas;11/5/16;26;7,4;0,125;0;80;125;90;;;;;;;Ya se pueden meter las plantas, ya que el agua está estable.
Sin plantas;12/5/16;24;7,4;0;0;80;125;90;;;;;;;Cayó ceniza, entonces no se pudo sembrara las plantas, porque tal véz desestabilizaría al agua.
Sin plantas;13/5/16;25;7,4;0;0;80;125;90;;;;;;;Mañana se pueden poner als plantas, ya que la ceniza no desequilibró al agua.
Día plantas;14/5/16;24;7,4;0,25;0;80;143;90;7,4;0;0,25;80;143;107;Hoy se sembró las plantas en la,tiempo después, se hicieron las mediciones, sí es diferente arriba a abajo.
Con plantas;15/5/16;26;7,4;0,125;1;160;179;90;7,4;0,25;0,5;80;161;90;Todó exepto el PH cambió, la mayoría aumentó demasiado, lo cuál no es bueno.
Con plantas;16/5/16;26;7,4;0,125;5;40;179;90;7,4;0,125;5;160;161;107;El PH se mantuvo, pero el resto se a alterado bastante.  
Con plantas;17/5/16;24;7,5;0,125;0,125;40;143;107;7,4;0,125;0,25;80;143;161;Se tuvo que cambiar gran parte del agua, porque si no la tilapia se pudo haber intoxicado. 
Con plantas;18/5/16;24;7,4;0,125;0;20;125;125;7,4;0,125;0;30;125;125;La química mejoró, gracias al cambio de agua.
Con plantas;26/5/16;23;7,4;0;0;20;143;143;7,4;0,125;0;40;160;107;Los nitratos disminuyeron, pero el KH aumentó.
Con plantas;28/5/16;23;7,4;0,125;0;30;143;107;7,4;0,125;0;40;143;125;Se a evaporado mucha agua, hay que echarle un poco más de agua y las albahacas han crecido bastante.
Con plantas;30/5/16;24;7,4;0;0;30;143;125;7,4;0;0;30;143;125;Se comparó con una pecera de cíclidos, con filtro, en véz de plantas.  El PH está igual, el amoniaco y los  nitritos están muy parecidos, los nitratos están mucho más altos ( a 120 ppm) y el GH y KH están más altos.
Con plantas;31/5/16;23;7,4;0;0;20;161;125;7,4;0;0;30;143;107;El sistema encontró un equilibrio bioquímico, lo cuál significa que el sistema acuapónico se estabilizó.
Con plantas;6/6/16;24;7,4;0;0;20;161;107;7,4;0;0;15;143;107;Hoy llovió mucho, por lo cuál hubieron algunas ligeras variaciones, sobre todo en la duresa del agua.
